Date,Time,TotalGallons,TotalCost,CostPerGallon,FlowRate
2025-10-25,16:38:38,0.17,0.001,0.005,10
2025-10-25,16:38:39,0.17,0.001,0.005,10
2025-10-25,16:38:40,0.17,0.001,0.005,10
2025-10-25,16:38:41,0.17,0.001,0.005,10
2025-10-25,16:38:42,0.17,0.001,0.005,10
2025-10-25,16:38:43,0.17,0.001,0.005,10
2025-10-25,16:38:44,0.17,0.001,0.005,10
2025-10-25,16:38:45,0.17,0.001,0.005,10
2025-10-25,16:38:46,0.17,0.001,0.005,10
2025-10-25,16:38:47,0.17,0.001,0.005,10
2025-10-25,16:38:48,0.17,0.001,0.005,10
2025-10-25,16:38:49,0.17,0.001,0.005,10
2025-10-25,16:38:50,0.17,0.001,0.005,10
2025-10-25,16:38:51,0.17,0.001,0.005,10
2025-10-25,16:38:52,0.17,0.001,0.005,10
2025-10-25,16:38:53,0.17,0.001,0.005,10
2025-10-25,16:38:54,0.17,0.001,0.005,10
2025-10-25,16:38:55,0.17,0.001,0.005,10
2025-10-25,16:38:56,0.17,0.001,0.005,10
2025-10-25,16:38:57,0.17,0.001,0.005,10
2025-10-25,16:38:58,0.17,0.001,0.005,10
2025-10-25,16:38:59,0.17,0.001,0.005,10
2025-10-25,16:39:00,0.17,0.001,0.005,10
2025-10-25,16:39:01,0.17,0.001,0.005,10
2025-10-25,16:39:02,0.17,0.001,0.005,10
2025-10-25,16:39:03,0.17,0.001,0.005,10
2025-10-25,16:39:04,0.17,0.001,0.005,10
2025-10-25,16:39:05,0.17,0.001,0.005,10
2025-10-25,16:39:06,0.17,0.001,0.005,10
2025-10-25,16:39:07,0.17,0.001,0.005,10
2025-10-25,16:39:08,0.17,0.001,0.005,10
2025-10-25,16:42:26,0.17,0.001,0.005,10
2025-10-25,16:42:27,0.17,0.001,0.005,10
2025-10-25,16:42:28,0.17,0.001,0.005,10
2025-10-25,16:42:29,0.17,0.001,0.005,10
2025-10-25,16:42:30,0.17,0.001,0.005,10
2025-10-25,16:42:31,0.17,0.001,0.005,10
2025-10-25,16:42:32,0.17,0.001,0.005,10
2025-10-25,16:42:33,0.17,0.001,0.005,10
2025-10-25,16:42:34,0.17,0.001,0.005,10
2025-10-25,16:42:35,0.17,0.001,0.005,10
2025-10-25,16:42:36,0.17,0.001,0.005,10
2025-10-25,16:42:37,0.17,0.001,0.005,10
2025-10-25,16:42:38,0.17,0.001,0.005,10
2025-10-25,16:42:39,0.17,0.001,0.005,10
2025-10-25,16:42:40,0.17,0.001,0.005,10
2025-10-25,16:42:41,0.17,0.001,0.005,10
2025-10-25,16:42:42,0.17,0.001,0.005,10
2025-10-25,16:42:43,0.17,0.001,0.005,10
2025-10-25,16:42:44,0.17,0.001,0.005,10
2025-10-25,16:42:45,0.17,0.001,0.005,10
2025-10-25,16:42:46,0.17,0.001,0.005,10
2025-10-25,16:42:47,0.17,0.001,0.005,10
2025-10-25,16:42:48,0.17,0.001,0.005,10
2025-10-25,16:42:49,0.17,0.001,0.005,10
2025-10-25,16:42:50,0.17,0.001,0.005,10
2025-10-25,16:42:51,0.17,0.001,0.005,10
2025-10-25,16:42:52,0.17,0.001,0.005,10
2025-10-25,16:42:53,0.17,0.001,0.005,10
2025-10-25,16:42:54,0.17,0.001,0.005,10
2025-10-25,16:42:55,0.17,0.001,0.005,10
2025-10-25,16:42:56,0.17,0.001,0.005,10
2025-10-25,16:42:57,0.17,0.001,0.005,10
2025-10-25,16:42:58,0.17,0.001,0.005,10
2025-10-25,16:42:59,0.17,0.001,0.005,10
2025-10-25,16:43:00,0.17,0.001,0.005,10
2025-10-25,16:43:01,0.17,0.001,0.005,10
2025-10-25,16:43:02,0.17,0.001,0.005,10
2025-10-25,16:43:03,0.17,0.001,0.005,10
2025-10-25,16:43:04,0.17,0.001,0.005,10
2025-10-25,16:43:05,0.17,0.001,0.005,10
2025-10-25,16:43:06,0.17,0.001,0.005,10
2025-10-25,16:43:07,0.17,0.001,0.005,10
2025-10-25,16:43:08,0.17,0.001,0.005,10
2025-10-25,16:43:09,0.17,0.001,0.005,10
2025-10-25,16:43:10,0.17,0.001,0.005,10
2025-10-25,16:43:11,0.17,0.001,0.005,10
2025-10-25,16:43:12,0.17,0.001,0.005,10
2025-10-25,16:43:13,0.17,0.001,0.005,10
2025-10-25,16:43:14,0.17,0.001,0.005,10
2025-10-25,16:43:15,0.17,0.001,0.005,10
2025-10-25,16:43:16,0.17,0.001,0.005,10
2025-10-25,16:43:17,0.17,0.001,0.005,10
2025-10-25,16:43:18,0.17,0.001,0.005,10
2025-10-25,16:43:19,0.17,0.001,0.005,10
2025-10-25,16:43:20,0.17,0.001,0.005,10
2025-10-25,16:43:21,0.17,0.001,0.005,10
2025-10-25,16:43:22,0.17,0.001,0.005,10
2025-10-25,16:43:23,0.17,0.001,0.005,10
2025-10-25,16:43:24,0.17,0.001,0.005,10
2025-10-25,16:43:25,0.17,0.001,0.005,10
2025-10-25,16:43:26,0.17,0.001,0.005,10
2025-10-25,16:43:27,0.17,0.001,0.005,10
2025-10-25,16:43:28,0.17,0.001,0.005,10
2025-10-25,16:43:29,0.17,0.001,0.005,10
2025-10-25,16:43:30,0.17,0.001,0.005,10
2025-10-25,16:43:31,0.17,0.001,0.005,10
